first,firstbreed,breedage,firstreturn,returnage
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,16,9,12,5
7,23,16,9,2
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,11,4
7,NA,NA,NA,NA
7,21,14,10,3
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,9,2
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,10,3
7,13,6,10,3
7,14,7,12,5
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,14,7,11,4
7,NA,NA,NA,NA
7,NA,NA,11,4
7,13,6,11,4
7,NA,NA,NA,NA
7,14,7,11,4
7,15,8,11,4
7,14,7,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,NA,NA
7,21,14,10,3
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,11,4
7,14,7,12,5
7,NA,NA,NA,NA
7,NA,NA,10,3
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,NA,NA
7,12,5,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,14,7
7,13,6,9,2
7,NA,NA,10,3
7,14,7,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,21,14
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,12,5,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,15,8,12,5
7,NA,NA,9,2
7,NA,NA,NA,NA
7,16,9,12,5
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,NA,NA
7,14,7,10,3
7,14,7,10,3
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,17,10,10,3
7,NA,NA,12,5
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,12,5
7,NA,NA,NA,NA
7,14,7,11,4
7,16,9,10,3
7,16,9,11,4
7,NA,NA,NA,NA
7,13,6,10,3
7,NA,NA,10,3
7,14,7,10,3
7,NA,NA,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,17,10,11,4
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,9,2
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,14,7
7,NA,NA,NA,NA
7,NA,NA,NA,NA
7,NA,NA,11,4
7,NA,NA,NA,NA
7,16,9,11,4
7,NA,NA,NA,NA
